timestamp,nickname,game_result,human_score,robot_score
2025-07-31 15:43:15,GIMkANGMIN,AI_WIN,0,1
2025-07-31 15:46:20,KIMGANGMIN,AI_WIN,0,1
2025-07-31 15:48:27,TEST,AI_WIN,0,1
2025-07-31 16:03:07,DOHYEJJANG,AI_WIN,0,1
2025-07-31 16:03:54,DOHYEJJANG,AI_WIN,0,1
2025-07-31 16:17:23,SIMGLY,AI_WIN,0,1
2025-07-31 16:30:49,YEJIN,HUMAN_WIN,1,0
2025-07-31 16:45:14,YOON,HUMAN_WIN,1,0
2025-07-31 16:59:25,HYUNJUN,AI_WIN,0,1
2025-08-01 10:11:02,tomato,AI_WIN,0,1
2025-08-01 10:11:02,tomato,HUMAN_WIN,0,1
2025-08-01 10:21:08,je,AI_WIN,0,1
2025-08-01 10:28:23,semijkjk,AI_WIN,0,1
2025-08-01 10:36:58,3nano,AI_WIN,0,1
2025-08-01 10:43:43,kmj,AI_WIN,0,1
2025-08-01 10:47:49,uu,AI_WIN,0,1
2025-08-01 10:55:42,goat,AI_WIN,0,1
2025-08-01 10:56:52,goat,AI_WIN,0,1
2025-08-01 11:03:51,staff,AI_WIN,0,1
2025-08-01 11:04:21,staff,AI_WIN,0,1
2025-08-01 11:15:26,staff,AI_WIN,0,1
2025-08-01 11:23:39,DaggaGo,HUMAN_WIN,1,0
2025-08-01 11:31:49,jeong,AI_WIN,0,1
2025-08-01 11:32:14,jeong,AI_WIN,0,1
2025-08-01 11:39:05,smilehong,AI_WIN,0,1
2025-08-01 11:39:26,smilehong,AI_WIN,0,1
2025-08-01 11:41:30,chaehyeong,AI_WIN,0,1
2025-08-01 11:44:50,zizon yoon,AI_WIN,0,1
2025-08-01 11:46:35,zizon yoon,AI_WIN,0,1
2025-08-01 11:47:15,zizon yoon,HUMAN_WIN,1,0
2025-08-01 11:56:01,CHAE,AI_WIN,0,1
2025-08-01 11:58:51,CHAE,AI_WIN,0,1
2025-08-01 12:07:52,sh,AI_WIN,0,1
2025-08-01 12:08:32,sh,AI_WIN,0,1
2025-08-01 12:22:19,sh,AI_WIN,0,1
2025-08-01 12:23:12,sh,AI_WIN,0,1
