#{"t_start": 1754665079.98137, "env_id": "None"}
r,l,t
135.0,7,14.833091
135.0,7,14.848298
135.0,7,14.860675
135.0,7,14.873058
135.0,7,14.884891
135.0,7,14.896811
135.0,7,14.906764
135.0,7,14.919133
135.0,7,14.931151
135.0,7,14.94276
135.0,7,14.954538
135.0,7,14.966441
135.0,7,14.976947
135.0,7,14.988702
135.0,7,15.000283
135.0,7,15.011293
135.0,7,15.023407
135.0,7,15.036538
135.0,7,15.050783
135.0,7,15.0613
135.0,7,15.070834
135.0,7,15.08284
135.0,7,15.094084
135.0,7,15.104584
135.0,7,15.116333
135.0,7,15.127892
135.0,7,15.137397
135.0,7,15.15092
135.0,7,15.161918
135.0,7,15.173795
135.0,7,15.185002
135.0,7,15.197041
135.0,7,15.209546
150.0,5,15.221054
135.0,7,15.235115
195.0,5,15.242623
135.0,7,15.253129
135.0,7,15.264904
135.0,7,15.276171
135.0,7,15.288079
135.0,7,15.301124
135.0,7,15.313383
135.0,7,15.323218
135.0,7,15.336599
135.0,7,15.349182
165.0,6,15.358718
135.0,7,15.371948
135.0,7,15.383334
135.0,7,15.394005
135.0,7,15.406048
165.0,6,15.417533
135.0,7,15.429565
135.0,7,15.435819
135.0,7,15.453023
135.0,7,15.465458
135.0,7,15.480285
135.0,7,15.489904
135.0,7,15.501327
135.0,7,15.511962
135.0,7,15.524958
135.0,7,15.537932
135.0,7,15.549231
135.0,7,15.561413
135.0,7,15.578482
135.0,7,15.587957
135.0,7,15.600055
165.0,6,15.608929
135.0,7,15.623514
165.0,6,15.632669
135.0,7,15.64373
135.0,7,15.65631
135.0,7,15.667754
135.0,7,15.678266
135.0,7,15.688624
135.0,7,15.703539
135.0,7,15.717052
135.0,7,15.727546
135.0,7,15.738558
135.0,7,15.751158
135.0,7,15.76573
135.0,7,15.776236
135.0,7,15.788382
135.0,7,15.807156
135.0,7,15.818665
135.0,7,15.831617
135.0,7,15.840817
135.0,7,15.852803
135.0,7,15.862865
135.0,7,15.873637
135.0,7,15.886181
135.0,7,15.897008
135.0,7,15.905888
135.0,7,15.918882
135.0,7,15.929382
135.0,7,15.939548
135.0,7,15.950616
135.0,7,15.962636
135.0,7,15.974061
165.0,6,15.982707
135.0,7,15.993104
135.0,7,16.003907
135.0,7,16.017628
135.0,7,16.028209
135.0,7,16.039596
135.0,7,16.051848
135.0,7,16.062871
135.0,7,16.074377
135.0,7,16.084894
135.0,7,16.094852
135.0,7,16.105273
135.0,7,16.115782
135.0,7,16.125772
135.0,7,16.137247
135.0,7,16.142801
135.0,7,16.157968
135.0,7,16.168892
135.0,7,16.179823
135.0,7,16.18924
135.0,7,16.199747
165.0,6,16.210488
135.0,7,16.22017
105.0,5,16.229781
165.0,6,16.238117
135.0,7,16.249319
135.0,7,16.26294
135.0,7,16.271451
135.0,7,16.28747
135.0,7,16.299982
135.0,7,16.310499
135.0,7,16.320018
135.0,7,16.330524
135.0,7,16.340238
135.0,7,16.35075
135.0,7,16.361257
135.0,7,16.374274
135.0,7,16.385781
135.0,7,16.397287
135.0,7,16.406794
135.0,7,16.419642
135.0,7,16.430194
135.0,7,16.440212
150.0,5,16.44772
135.0,7,16.460225
135.0,7,16.471776
150.0,5,16.481203
135.0,7,16.491884
135.0,7,16.502945
135.0,7,16.514455
135.0,7,16.523963
135.0,7,16.534744
135.0,7,16.547927
135.0,7,16.558805
135.0,7,16.569389
135.0,7,16.580809
135.0,7,16.591356
135.0,7,16.601278
135.0,7,16.611891
135.0,7,16.621398
135.0,7,16.630908
135.0,7,16.639921
135.0,7,16.651036
135.0,7,16.661167
135.0,7,16.672937
135.0,7,16.684631
135.0,7,16.694646
135.0,7,16.705153
135.0,7,16.714962
165.0,6,16.723466
135.0,7,16.73498
135.0,7,16.745236
135.0,7,16.755921
135.0,7,16.766642
135.0,7,16.777089
135.0,7,16.788102
135.0,7,16.799697
135.0,7,16.809269
135.0,7,16.81979
135.0,7,16.830368
135.0,7,16.840544
165.0,6,16.849156
135.0,7,16.859627
135.0,7,16.87124
135.0,7,16.883251
165.0,6,16.891258
135.0,7,16.903463
135.0,7,16.913706
135.0,7,16.922707
135.0,7,16.932717
135.0,7,16.943735
135.0,7,16.954218
135.0,7,16.964916
135.0,7,16.97542
135.0,7,16.990934
135.0,7,17.002755
135.0,7,17.013449
135.0,7,17.023911
135.0,7,17.035581
135.0,7,17.048905
135.0,7,17.062917
135.0,7,17.07399
135.0,7,17.086494
135.0,7,17.097002
135.0,7,17.108513
135.0,7,17.121105
135.0,7,17.13312
135.0,7,17.142856
150.0,5,17.152011
135.0,7,17.166189
135.0,7,17.176698
135.0,7,17.188191
135.0,7,17.19874
135.0,7,17.208247
135.0,7,17.219756
135.0,7,17.230633
135.0,7,17.240648
135.0,7,17.252658
135.0,7,17.26417
135.0,7,17.275678
135.0,7,17.285963
135.0,7,17.296111
135.0,7,17.306031
135.0,7,17.317653
135.0,7,17.328428
135.0,7,17.338684
135.0,7,17.348929
135.0,7,17.359352
