timestamp,nickname,game_result,human_score,robot_score
2025-07-31 15:44:47,KIMGANGMIN,HUMAN_WIN,1,0
2025-07-31 16:04:52,DOHYEJJANG,HUMAN_WIN,1,0
2025-07-31 16:19:17,SIMGLY,AI_WIN,0,1
2025-07-31 16:29:53,YEJIN,AI_WIN,0,1
2025-07-31 16:46:06,YOON,HUMAN_WIN,1,0
2025-08-01 10:11:48,tomato,AI_WIN,0,1
2025-08-01 10:22:35,je,AI_WIN,0,1
2025-08-01 10:29:18,semijkjk,AI_WIN,0,1
2025-08-01 10:37:58,3nano,HUMAN_WIN,1,0
2025-08-01 10:44:34,kmj,HUMAN_WIN,1,0
2025-08-01 10:58:40,goat,AI_WIN,0,1
2025-08-01 11:05:54,staff,AI_WIN,0,1
2025-08-01 11:16:01,staff,AI_WIN,0,1
2025-08-01 11:24:36,DaggaGo,AI_WIN,0,1
2025-08-01 11:33:16,jeong,AI_WIN,0,1
2025-08-01 11:40:07,smilehong,HUMAN_WIN,1,0
2025-08-01 11:59:49,CHAE,HUMAN_WIN,1,0
2025-08-01 12:23:39,sh,AI_WIN,0,1
2025-08-01 21:36:17,alphaca,AI_WIN,0,1
2025-08-04 02:29:05,ooo,AI_WIN,0,1
2025-08-04 15:17:44,hihi,AI_WIN,0,1
2025-08-04 18:35:33,dg,AI_WIN,0,1
