timestamp,nickname,game_result,human_score,robot_score
2025-08-19 13:20:31,dkej,AI_WIN,0,1
2025-08-19 13:24:33,dkej,AI_WIN,0,1
2025-08-19 13:24:49,dkej,HUMAN_WIN,1,1
2025-08-19 13:25:01,dkej,HUMAN_WIN,2,1
2025-08-19 13:25:14,dkej,HUMAN_WIN,3,1
2025-08-19 13:25:31,dkej,HUMAN_WIN,4,1
2025-08-19 13:25:54,dkej,HUMAN_WIN,5,1
2025-08-19 13:26:07,dkej,AI_WIN,5,2
2025-08-19 13:26:18,dkej,HUMAN_WIN,6,2
2025-08-19 13:26:36,dkej,HUMAN_WIN,7,2
2025-08-19 13:26:57,dkej,HUMAN_WIN,8,2
2025-08-19 13:27:12,dkej,AI_WIN,8,3
2025-08-19 13:40:29,dkej,HUMAN_WIN,9,3
2025-08-19 13:40:51,dkej,AI_WIN,9,4
2025-08-19 13:41:09,dkej,HUMAN_WIN,10,4
2025-08-19 13:41:29,dkej,AI_WIN,10,5
2025-08-19 13:41:45,dkej,HUMAN_WIN,11,5
2025-08-19 13:42:03,dkej,AI_WIN,11,6
2025-08-19 13:42:21,dkej,HUMAN_WIN,12,6
2025-08-19 13:42:37,dkej,HUMAN_WIN,13,6
2025-08-19 13:42:51,dkej,HUMAN_WIN,14,6
2025-08-19 20:16:47,dkej,AI_WIN,0,1
2025-08-19 20:17:05,dkej,AI_WIN,0,2
2025-08-19 20:17:23,dkej,HUMAN_WIN,1,2
2025-08-19 20:17:41,dkej,AI_WIN,1,3
2025-08-19 20:18:16,dkej,AI_WIN,1,4
2025-08-19 20:18:29,dkej,HUMAN_WIN,2,4
2025-08-19 20:18:45,dkej,AI_WIN,2,5
2025-08-19 20:19:09,dkej,AI_WIN,2,6
2025-08-19 20:19:27,dkej,HUMAN_WIN,3,6
2025-08-19 20:19:44,dkej,HUMAN_WIN,4,6
2025-08-19 20:20:02,dkej,HUMAN_WIN,5,6
2025-08-20 12:26:00,hg,HUMAN_WIN,1,0
2025-08-20 12:26:31,hg,HUMAN_WIN,2,0
2025-08-20 12:27:03,hg,HUMAN_WIN,3,0
2025-08-22 13:32:15,dkej,HUMAN_WIN,1,0
2025-08-22 13:51:12,dkej,HUMAN_WIN,1,0
2025-08-22 13:51:29,dkej,HUMAN_WIN,2,0
2025-08-22 13:51:51,dkej,HUMAN_WIN,3,0
2025-08-22 13:52:02,dkej,HUMAN_WIN,4,0
2025-08-22 13:52:18,dkej,HUMAN_WIN,5,0
2025-08-23 12:57:15,lkk,HUMAN_WIN,1,0
2025-08-23 12:57:31,lkk,HUMAN_WIN,2,0
2025-08-23 12:57:50,lkk,HUMAN_WIN,3,0
2025-08-23 12:58:13,lkk,HUMAN_WIN,4,0
2025-08-23 12:59:37,lkk,AI_WIN,4,1
2025-08-23 13:03:08,lkk,AI_WIN,4,2
2025-08-23 13:03:21,lkk,HUMAN_WIN,5,2
2025-08-23 13:03:39,lkk,AI_WIN,5,3
2025-08-23 13:04:00,lkk,HUMAN_WIN,6,3
2025-08-23 14:06:48,kkk,HUMAN_WIN,1,0
2025-08-23 14:07:06,kkk,HUMAN_WIN,2,0
2025-08-23 14:07:19,kkk,HUMAN_WIN,3,0
2025-08-23 14:07:33,kkk,HUMAN_WIN,4,0
2025-08-23 17:51:45,dle,AI_WIN,0,1
2025-08-23 17:54:23,dle,HUMAN_WIN,1,1
2025-08-23 17:54:41,dle,HUMAN_WIN,2,1
2025-08-23 17:55:22,dle,AI_WIN,2,2
2025-08-23 18:08:16,ll,AI_WIN,0,1
2025-08-23 18:19:28,ll,HUMAN_WIN,1,0
2025-08-23 18:19:40,ll,HUMAN_WIN,2,0
2025-08-23 18:19:47,ll,AI_WIN,2,1
2025-08-23 18:20:01,ll,HUMAN_WIN,3,1
2025-08-23 18:20:14,ll,HUMAN_WIN,4,1
2025-08-23 18:20:29,ll,HUMAN_WIN,5,1
2025-08-23 18:20:46,ll,HUMAN_WIN,6,1
2025-08-23 18:40:03,sd,HUMAN_WIN,1,0
2025-08-23 18:40:14,sd,AI_WIN,1,1
2025-08-23 18:40:29,sd,AI_WIN,1,2
2025-08-23 18:40:49,sd,HUMAN_WIN,2,2
2025-08-23 18:41:09,sd,AI_WIN,2,3
2025-08-23 18:41:53,sd,HUMAN_WIN,3,3
2025-08-23 18:42:13,sd,HUMAN_WIN,4,3
2025-08-23 18:42:32,sd,HUMAN_WIN,5,3
2025-08-23 18:42:46,sd,AI_WIN,5,4
2025-08-25 20:42:37,dd,HUMAN_WIN,1,0
2025-08-25 20:43:13,dd,HUMAN_WIN,2,0
2025-08-25 20:43:22,dd,AI_WIN,2,1
2025-08-25 20:43:45,dd,HUMAN_WIN,3,1
2025-08-25 20:45:31,dd,AI_WIN,3,2
