Round,Total Timesteps,Win Rate as Black,Win Rate as White,Overall Win Rate
A_Round_1,0,0.0600,0.0900,0.0750
A_Round_2,51200,0.3700,0.4600,0.4150
A_Round_3,102400,0.0000,0.0100,0.0050
A_Round_4,153600,0.0200,0.0400,0.0300
A_Round_5,204800,0.0000,0.0000,0.0000
A_Round_6,256000,0.0000,0.0200,0.0100
A_Round_7,307200,0.0000,0.0000,0.0000
A_Round_8,358400,0.0000,0.0000,0.0000
A_Round_1,0,0.0600,0.0300,0.0450
A_Round_1,0,0.0200,0.0200,0.0200
A_Round_1,0,0.0700,0.0300,0.0500
A_Round_1,0,0.0500,0.0200,0.0350
A_Round_1,0,0.0300,0.0900,0.0600
A_Round_1,0,0.0600,0.0800,0.0700
A_Round_1,0,0.0600,0.0500,0.0550
A_Round_1,0,0.0700,0.0400,0.0550
A_Round_1,0,0.0300,0.0300,0.0300
A_Round_2,50000,0.0200,0.0500,0.0350
A_Round_3,100000,0.0400,0.0400,0.0400
A_Round_4,150000,0.0400,0.0500,0.0450
A_Round_1,0,0.0400,0.0400,0.0400
A_Round_2,51200,0.0200,0.0500,0.0350
A_Round_1,0,0.0600,0.0500,0.0550
A_Round_2,51200,0.0600,0.0200,0.0400
A_Round_3,102400,0.5100,0.3500,0.4300
A_Round_4,153600,0.0100,0.0300,0.0200
A_Round_5,204800,0.0100,0.0100,0.0100
A_Round_6,256000,0.0000,0.0100,0.0050
A_Round_7,307200,0.0000,0.0100,0.0050
A_Round_8,358400,0.0000,0.0000,0.0000
A_Round_9,409600,0.0000,0.0000,0.0000
A_Round_10,460800,0.0000,0.0000,0.0000
A_Round_11,512000,0.0000,0.0000,0.0000
A_Round_12,563200,0.0000,0.0000,0.0000
A_Round_13,614400,0.0000,0.0100,0.0050
A_Round_1,0,0.0500,0.0600,0.0550
A_Round_1,0,0.0200,0.0500,0.0350
A_Round_2,53248,0.0100,0.0100,0.0100
A_Round_3,106496,0.0200,0.0100,0.0150
A_Round_4,159744,0.0200,0.0100,0.0150
A_Round_5,212992,0.0000,0.0000,0.0000
A_Round_6,266240,0.0000,0.0000,0.0000
A_Round_7,319488,0.0000,0.0000,0.0000
A_Round_8,372736,0.0000,0.0000,0.0000
A_Round_9,425984,0.0000,0.0000,0.0000
A_Round_10,479232,0.0000,0.0000,0.0000
A_Round_1,0,0.0600,0.0400,0.0500
A_Round_2,53248,0.0100,0.0300,0.0200
A_Round_3,106496,0.4400,0.3700,0.4050
A_Round_4,159744,0.0100,0.0000,0.0050
A_Round_5,212992,0.0300,0.0200,0.0250
A_Round_6,266240,0.0300,0.0600,0.0450
A_Round_7,319488,0.0000,0.0100,0.0050
A_Round_8,372736,0.0200,0.0100,0.0150
A_Round_9,425984,0.0100,0.0200,0.0150
A_Round_10,479232,0.0000,0.0200,0.0100
A_Round_11,532480,0.0100,0.0200,0.0150
A_Round_1,0,0.0300,0.0500,0.0400
A_Round_2,53248,0.2200,0.1400,0.1800
A_Round_3,106496,0.0200,0.0200,0.0200
A_Round_4,159744,0.0100,0.0200,0.0150
A_Round_5,212992,0.0400,0.0400,0.0400
A_Round_6,266240,0.0000,0.0200,0.0100
A_Round_7,319488,0.0000,0.0200,0.0100
A_Round_8,372736,0.0000,0.0000,0.0000
A_Round_9,425984,0.0000,0.0000,0.0000
A_Round_10,479232,0.0100,0.0200,0.0150
A_Round_11,532480,0.0000,0.0000,0.0000
A_Round_12,585728,0.4600,0.4300,0.4450
A_Round_13,638976,0.4000,0.3400,0.3700
A_Round_14,692224,0.3900,0.2600,0.3250
A_Round_15,745472,0.2800,0.4300,0.3550
A_Round_16,798720,0.4600,0.3300,0.3950
A_Round_17,851968,0.3600,0.3200,0.3400
A_Round_18,905216,0.3400,0.4000,0.3700
A_Round_19,958464,0.3300,0.3600,0.3450
A_Round_20,1011712,0.2200,0.2500,0.2350
A_Round_21,1064960,0.0000,0.0200,0.0100
A_Round_22,1118208,0.0000,0.0100,0.0050
A_Round_23,1171456,0.0200,0.0300,0.0250
A_Round_24,1224704,0.0200,0.0000,0.0100
A_Round_25,1277952,0.0000,0.0100,0.0050
A_Round_26,1331200,0.0000,0.0300,0.0150
A_Round_27,1384448,0.0000,0.0000,0.0000
A_Round_28,1437696,0.0000,0.0000,0.0000
A_Round_29,1490944,0.0300,0.0300,0.0300
A_Round_30,1544192,0.0100,0.0400,0.0250
A_Round_31,1597440,0.0400,0.0100,0.0250
A_Round_32,1650688,0.0200,0.0300,0.0250
A_Round_33,1703936,0.0300,0.0100,0.0200
A_Round_34,1757184,0.0200,0.0100,0.0150
A_Round_35,1810432,0.0200,0.0400,0.0300
A_Round_36,1863680,0.0600,0.0700,0.0650
A_Round_37,1916928,0.0300,0.0100,0.0200
A_Round_38,1970176,0.0200,0.0200,0.0200
A_Round_39,2023424,0.0500,0.0100,0.0300
A_Round_40,2076672,0.0100,0.0400,0.0250
A_Round_41,2129920,0.0300,0.0600,0.0450
A_Round_42,2183168,0.0200,0.0400,0.0300
A_Round_43,2236416,0.0400,0.0400,0.0400
A_Round_44,2289664,0.0400,0.0600,0.0500
A_Round_45,2342912,0.0700,0.0200,0.0450
A_Round_46,2396160,0.0500,0.0100,0.0300
A_Round_47,2449408,0.0600,0.0300,0.0450
A_Round_48,2502656,0.0200,0.0500,0.0350
A_Round_49,2555904,0.0100,0.0500,0.0300
A_Round_50,2609152,0.0400,0.0100,0.0250
A_Round_51,2662400,0.0100,0.0100,0.0100
A_Round_52,2715648,0.0300,0.0000,0.0150
A_Round_53,2768896,0.0400,0.0400,0.0400
A_Round_54,2822144,0.0400,0.0200,0.0300
A_Round_55,2875392,0.0200,0.0500,0.0350
A_Round_56,2928640,0.0500,0.0200,0.0350
A_Round_57,2981888,0.0100,0.0100,0.0100
A_Round_58,3035136,0.0300,0.0200,0.0250
A_Round_59,3088384,0.0500,0.0200,0.0350
A_Round_60,3141632,0.0100,0.0500,0.0300
A_Round_61,3194880,0.0400,0.0100,0.0250
A_Round_62,3248128,0.0100,0.0200,0.0150
A_Round_1,0,0.0400,0.1000,0.0700,0.0000
A_Round_2,53248,0.2700,0.2600,0.2650,1.0000
A_Round_3,106496,0.2100,0.3000,0.2550,1.0000
A_Round_4,159744,0.4500,0.3900,0.4200,1.0000
A_Round_1,0,0.0400,0.0800,0.0600,0.0000
A_Round_2,53248,0.0200,0.0100,0.0150,0.0000
A_Round_3,106496,0.0800,0.0500,0.0650,0.0000
A_Round_4,159744,0.0000,0.0100,0.0050,0.0000
A_Round_5,212992,0.0600,0.0200,0.0400,1.0000
A_Round_6,266240,0.0100,0.0400,0.0250,0.0000
A_Round_7,319488,0.0100,0.0000,0.0050,0.0000
A_Round_8,372736,0.0200,0.0100,0.0150,0.0000
A_Round_9,425984,0.0200,0.0200,0.0200,0.0000
A_Round_10,479232,0.0200,0.0300,0.0250,0.0000
A_Round_11,532480,0.0100,0.0000,0.0050,0.0000
A_Round_12,585728,0.3900,0.3500,0.3700,1.0000
A_Round_13,638976,0.3500,0.3000,0.3250,1.0000
A_Round_14,692224,0.2700,0.4000,0.3350,1.0000
A_Round_1,0,0.4100,0.4300,0.4200,1.0000
A_Round_1,0,0.4000,0.4100,0.4050,1.0000
A_Round_2,53248,0.2600,0.2000,0.2300,1.0000
A_Round_3,106496,0.0500,0.0300,0.0400,0.0000
A_Round_1,106496,0.0000,0.0200,0.0100,0.0000
A_Round_1,0,0.3200,0.2600,0.2900,1.0000
A_Round_2,12288,0.4200,0.3900,0.4050,1.0000
A_Round_3,24576,0.0200,0.0300,0.0250,0.0000
A_Round_4,36864,0.0100,0.0300,0.0200,0.0000
A_Round_5,49152,0.0100,0.0100,0.0100,0.0000
A_Round_6,61440,0.0100,0.0300,0.0200,0.0000
A_Round_7,73728,0.0100,0.0100,0.0100,0.0000
A_Round_8,86016,0.0000,0.0100,0.0050,0.0000
A_Round_9,98304,0.0000,0.0000,0.0000,0.0000
A_Round_10,110592,0.0000,0.0200,0.0100,0.0000
A_Round_11,122880,0.0000,0.0200,0.0100,0.0000
A_Round_12,135168,0.0000,0.0200,0.0100,0.0000
A_Round_13,147456,0.0200,0.0400,0.0300,0.0000
A_Round_1,147456,0.0300,0.0200,0.0250,0.0000
A_Round_2,159744,0.0100,0.0100,0.0100,0.0000
A_Round_1,0,0.3600,0.3800,0.3700,1.0000
A_Round_2,12288,0.0500,0.0600,0.0550,0.0000
A_Round_3,24576,0.0300,0.0500,0.0400,0.0000
A_Round_4,36864,0.4500,0.4100,0.4300,1.0000
A_Round_5,49152,0.3500,0.2800,0.3150,1.0000
A_Round_6,61440,0.4400,0.3800,0.4100,1.0000
A_Round_1,0,0.3200,0.4000,0.3600,1.0000
A_Round_2,12288,0.0500,0.0300,0.0400,0.0000
A_Round_1,12288,0.0400,0.0600,0.0500,0.0000
A_Round_2,24576,0.4200,0.3800,0.4000,1.0000
A_Round_3,36864,0.5200,0.4600,0.4900,1.0000
A_Round_4,49152,0.5100,0.4100,0.4600,1.0000
A_Round_1,0,0.4600,0.3200,0.3900,1.0000
A_Round_2,12288,0.0600,0.0300,0.0450,0.0000
A_Round_3,24576,0.0300,0.0100,0.0200,0.0000
A_Round_4,36864,0.0500,0.0600,0.0550,0.0000
A_Round_5,49152,0.0400,0.0600,0.0500,0.0000
A_Round_6,61440,0.0200,0.0700,0.0450,0.0000
A_Round_1,61440,0.2300,0.2100,0.2200,0.0000
A_Round_2,73728,0.2700,0.2600,0.2650,0.0000
A_Round_1,0,0.2200,0.2300,0.2250,1.0000
A_Round_2,12288,0.2800,0.3100,0.2950,0.0000
A_Round_3,24576,0.3100,0.2400,0.2750,1.0000
A_Round_1,0,0.2000,0.3200,0.2600,0.4789
A_Round_2,12288,0.1800,0.1700,0.1750,0.5057
A_Round_3,24576,0.2000,0.2000,0.2000,0.5127
A_Round_4,36864,0.2600,0.2900,0.2750,0.5224
A_Round_5,49152,0.1600,0.2500,0.2050,0.5000
A_Round_6,61440,0.1900,0.2400,0.2150,0.5152
A_Round_7,73728,0.3000,0.1800,0.2400,0.5176
A_Round_8,86016,0.1900,0.2400,0.2150,0.5210
A_Round_9,98304,0.2600,0.2600,0.2600,0.5243
A_Round_10,110592,0.2000,0.1600,0.1800,0.5120
A_Round_1,0,0.2000,0.2800,0.2400,0.4762
A_Round_2,12288,0.1900,0.2000,0.1950,0.5172
A_Round_3,24576,0.2500,0.2100,0.2300,0.4963
A_Round_4,36864,0.2000,0.2000,0.2000,0.4669
A_Round_5,49152,0.1600,0.2200,0.1900,0.5013
A_Round_6,61440,0.3300,0.2900,0.3100,0.4869
A_Round_7,73728,0.2200,0.2000,0.2100,0.5207
A_Round_8,86016,0.2200,0.2200,0.2200,0.5306
A_Round_9,98304,0.1400,0.1900,0.1650,0.4858
A_Round_10,110592,0.2000,0.1500,0.1750,0.5383
A_Round_11,122880,0.2700,0.2600,0.2650,0.5155
A_Round_12,135168,0.2900,0.2400,0.2650,0.5241
A_Round_13,147456,0.1300,0.2000,0.1650,0.5308
A_Round_14,159744,0.2200,0.1900,0.2050,0.4967
A_Round_15,172032,0.2500,0.2400,0.2450,0.5203
A_Round_16,184320,0.2900,0.2500,0.2700,0.4873
A_Round_17,196608,0.2700,0.2300,0.2500,0.5152
A_Round_18,208896,0.3300,0.3500,0.3400,0.4896
A_Round_19,221184,0.2700,0.3200,0.2950,0.5143
A_Round_20,233472,0.2400,0.2300,0.2350,0.4761
A_Round_21,245760,0.2900,0.2300,0.2600,0.5139
A_Round_22,258048,0.1800,0.2200,0.2000,0.4893
A_Round_23,270336,0.2300,0.1800,0.2050,0.5322
A_Round_24,282624,0.1400,0.1800,0.1600,0.4917
A_Round_25,294912,0.1800,0.2700,0.2250,0.4923
A_Round_26,307200,0.2800,0.2800,0.2800,0.5129
A_Round_27,319488,0.2200,0.3000,0.2600,0.5000
A_Round_28,331776,0.1700,0.2300,0.2000,0.5044
A_Round_29,344064,0.2100,0.2400,0.2250,0.4975
A_Round_30,356352,0.2100,0.1700,0.1900,0.5116
A_Round_31,368640,0.2000,0.2100,0.2050,0.5170
A_Round_32,380928,0.2100,0.2500,0.2300,0.5013
A_Round_33,393216,0.1700,0.2600,0.2150,0.4874
A_Round_34,405504,0.2800,0.3300,0.3050,0.5204
A_Round_35,417792,0.2200,0.2600,0.2400,0.5173
A_Round_36,430080,0.2400,0.2500,0.2450,0.5089
A_Round_37,442368,0.2300,0.2100,0.2200,0.4883
A_Round_38,454656,0.2700,0.2600,0.2650,0.4808
A_Round_39,466944,0.2900,0.3400,0.3150,0.5194
A_Round_40,479232,0.2200,0.2600,0.2400,0.5089
A_Round_41,491520,0.2100,0.2800,0.2450,0.5134
A_Round_42,503808,0.3000,0.3400,0.3200,0.5298
A_Round_43,516096,0.1900,0.1400,0.1650,0.5471
A_Round_44,528384,0.1100,0.0400,0.0750,0.5314
A_Round_45,540672,0.1000,0.1300,0.1150,0.5758
A_Round_46,552960,0.0500,0.1100,0.0800,0.5217
A_Round_47,565248,0.0400,0.0800,0.0600,0.5240
A_Round_48,577536,0.0600,0.0300,0.0450,0.4864
A_Round_49,589824,0.0200,0.0700,0.0450,0.5024
A_Round_50,602112,0.0400,0.0400,0.0400,0.5340
A_Round_51,614400,0.0600,0.0800,0.0700,0.5056
A_Round_52,626688,0.0600,0.0500,0.0550,0.5277
A_Round_53,638976,0.1100,0.0900,0.1000,0.5226
A_Round_54,651264,0.1300,0.1100,0.1200,0.5087
A_Round_55,663552,0.0300,0.0100,0.0200,0.5663
A_Round_56,675840,0.0200,0.0400,0.0300,0.4967
A_Round_57,688128,0.0500,0.0300,0.0400,0.5356
A_Round_58,700416,0.0600,0.0400,0.0500,0.5152
A_Round_59,712704,0.0700,0.0700,0.0700,0.5322
A_Round_60,724992,0.0500,0.0200,0.0350,0.5016
A_Round_61,737280,0.0600,0.0400,0.0500,0.5227
A_Round_62,749568,0.0300,0.0300,0.0300,0.5032
A_Round_63,761856,0.0600,0.0300,0.0450,0.4873
A_Round_64,774144,0.0200,0.0300,0.0250,0.5065
A_Round_65,786432,0.0100,0.0200,0.0150,0.5200
A_Round_66,798720,0.0000,0.0000,0.0000,0.5132
A_Round_67,811008,0.0000,0.0200,0.0100,0.5033
A_Round_68,823296,0.0100,0.0100,0.0100,0.5248
A_Round_69,835584,0.0000,0.0100,0.0050,0.4437
A_Round_70,847872,0.0200,0.0100,0.0150,0.5081
A_Round_71,860160,0.0100,0.0300,0.0200,0.5049
A_Round_72,872448,0.0200,0.0100,0.0150,0.5008
A_Round_73,884736,0.0300,0.0400,0.0350,0.5047
A_Round_74,897024,0.0300,0.0500,0.0400,0.5313
